Head,12_Allocation_Abs,12_Allocation_Rel,11_Allocation_Abs
DAC,71500,40.9793784889786,38003
DARE,25553,14.6453994199842,9989
DAHDF,14179,8.12652598035282,4970
RKVY,63246,36.2486961106844,22426
Total,174478,100,75388
